region,date,incidenceBAG,cumulBAG,cumulOpenZH,compare
AG,2020-03-24,54,348,266,FALSE
AG,2020-03-25,46,394,319,FALSE
AG,2020-03-26,35,429,349,FALSE
AG,2020-03-27,54,483,364,FALSE
AG,2020-03-28,22,505,NA,NA
AG,2020-03-29,18,523,NA,NA
AG,2020-03-30,59,582,481,FALSE
AG,2020-03-31,42,624,499,FALSE
AG,2020-04-01,37,661,549,FALSE
AG,2020-04-02,33,694,592,FALSE
AG,2020-04-03,40,734,626,FALSE
AG,2020-04-04,23,757,NA,NA
AG,2020-04-05,11,768,NA,NA
AG,2020-04-06,43,811,727,FALSE
AG,2020-04-07,35,846,760,FALSE
AG,2020-04-08,22,868,788,FALSE
AG,2020-04-09,25,893,822,FALSE
AG,2020-04-10,11,904,850,FALSE
AG,2020-04-11,5,909,878,FALSE
AG,2020-04-12,8,917,899,FALSE
AG,2020-04-13,12,929,906,FALSE
AG,2020-04-14,24,953,912,FALSE
AG,2020-04-15,16,969,929,FALSE
AG,2020-04-16,19,988,943,FALSE
AG,2020-04-17,23,1011,960,FALSE
AG,2020-04-18,5,1016,987,FALSE
AG,2020-04-19,0,1016,1003,FALSE
AG,2020-04-20,13,1029,1012,FALSE
AG,2020-04-21,15,1044,1017,FALSE
AG,2020-04-22,14,1058,1026,FALSE
AG,2020-04-23,12,1070,1037,FALSE
AG,2020-04-24,12,1082,1052,FALSE
AG,2020-04-25,5,1087,NA,NA
AG,2020-04-26,1,1088,NA,NA
AG,2020-04-27,11,1099,1088,FALSE
AG,2020-04-28,4,1103,1093,FALSE
AG,2020-04-29,9,1112,1099,FALSE
AG,2020-04-30,7,1119,1108,FALSE
AG,2020-05-01,5,1124,1112,FALSE
AG,2020-05-02,3,1127,1124,FALSE
AG,2020-05-03,0,1127,1129,FALSE
AG,2020-05-04,10,1137,1133,FALSE
AG,2020-05-05,3,1140,1135,FALSE
AG,2020-05-06,4,1144,1141,FALSE
AG,2020-05-07,2,1146,1145,FALSE
AG,2020-05-08,5,1151,1149,FALSE
AG,2020-05-09,6,1157,1153,FALSE
AG,2020-05-10,2,1159,1156,FALSE
AG,2020-05-11,2,1161,1163,FALSE
AG,2020-05-12,4,1165,1167,FALSE
AG,2020-05-13,5,1170,1169,FALSE
AG,2020-05-14,2,1172,1174,FALSE
AG,2020-05-15,4,1176,1177,FALSE
AG,2020-05-16,4,1180,NA,NA
AG,2020-05-17,0,1180,NA,NA
AG,2020-05-18,4,1184,1185,FALSE
AG,2020-05-19,4,1188,1187,FALSE
AG,2020-05-20,2,1190,1194,FALSE
AG,2020-05-21,0,1190,1195,FALSE
AG,2020-05-22,1,1191,1195,FALSE
AG,2020-05-23,0,1191,NA,NA
AG,2020-05-24,0,1191,NA,NA
AG,2020-05-25,1,1192,1198,FALSE
AG,2020-05-26,2,1194,1200,FALSE
AG,2020-05-27,0,1194,1201,FALSE
AG,2020-05-28,6,1200,1201,FALSE
AG,2020-05-29,1,1201,NA,NA
AG,2020-05-30,2,1203,NA,NA
AG,2020-05-31,1,1204,NA,NA
AG,2020-06-01,0,1204,1210,FALSE
AG,2020-06-02,3,1207,1213,FALSE
AG,2020-06-03,0,1207,1213,FALSE
AG,2020-06-04,0,1207,1216,FALSE
AG,2020-06-05,0,1207,NA,NA
AG,2020-06-06,1,1208,NA,NA
AG,2020-06-07,1,1209,NA,NA
AG,2020-06-08,1,1210,1218,FALSE
AG,2020-06-09,0,1210,1220,FALSE
AG,2020-06-10,1,1211,1220,FALSE
AG,2020-06-11,4,1215,1222,FALSE
AG,2020-06-12,2,1217,NA,NA
AG,2020-06-13,0,1217,1226,FALSE
AG,2020-06-14,3,1220,1227,FALSE
AG,2020-06-15,1,1221,1229,FALSE
AG,2020-06-16,0,1221,1230,FALSE
AG,2020-06-17,1,1222,1231,FALSE
AG,2020-06-18,5,1227,1231,FALSE
AG,2020-06-19,2,1229,1235,FALSE
AG,2020-06-20,1,1230,NA,NA
AG,2020-06-21,0,1230,NA,NA
AG,2020-06-22,2,1232,1239,FALSE
AG,2020-06-23,3,1235,1241,FALSE
AG,2020-06-24,7,1242,1241,FALSE
AG,2020-06-25,5,1247,1248,FALSE
AG,2020-06-26,6,1253,1254,FALSE
AI,2020-01-24,0,0,NA,NA
AI,2020-01-25,0,0,NA,NA
AI,2020-01-26,0,0,NA,NA
AI,2020-01-27,0,0,NA,NA
AI,2020-01-28,0,0,NA,NA
AI,2020-01-29,0,0,NA,NA
AI,2020-01-30,0,0,NA,NA
AI,2020-01-31,0,0,NA,NA
AI,2020-02-01,0,0,NA,NA
AI,2020-02-02,0,0,NA,NA
AI,2020-02-03,0,0,NA,NA
AI,2020-02-04,0,0,NA,NA
AI,2020-02-05,0,0,NA,NA
AI,2020-02-06,0,0,NA,NA
AI,2020-02-07,0,0,NA,NA
AI,2020-02-08,0,0,NA,NA
AI,2020-02-09,0,0,NA,NA
AI,2020-02-10,0,0,NA,NA
AI,2020-02-11,0,0,NA,NA
AI,2020-02-12,0,0,NA,NA
AI,2020-02-13,0,0,NA,NA
AI,2020-02-14,0,0,NA,NA
AI,2020-02-15,0,0,NA,NA
AI,2020-02-16,0,0,NA,NA
AI,2020-02-17,0,0,NA,NA
AI,2020-02-18,0,0,NA,NA
AI,2020-02-19,0,0,NA,NA
AI,2020-02-20,0,0,NA,NA
AI,2020-02-21,0,0,NA,NA
AI,2020-02-22,0,0,NA,NA
AI,2020-02-23,0,0,NA,NA
AI,2020-02-24,0,0,NA,NA
AI,2020-02-25,0,0,NA,NA
AI,2020-02-26,0,0,NA,NA
AI,2020-02-27,0,0,NA,NA
AI,2020-02-28,0,0,NA,NA
AI,2020-02-29,0,0,NA,NA
AI,2020-03-01,0,0,NA,NA
AI,2020-03-02,0,0,NA,NA
AI,2020-03-03,0,0,NA,NA
AI,2020-03-04,0,0,NA,NA
AI,2020-03-05,0,0,NA,NA
AI,2020-03-06,0,0,NA,NA
AI,2020-03-07,0,0,NA,NA
AI,2020-03-08,0,0,NA,NA
AI,2020-03-09,0,0,NA,NA
AI,2020-03-10,0,0,NA,NA
AI,2020-03-11,0,0,NA,NA
AI,2020-03-12,0,0,NA,NA
AI,2020-03-13,2,2,NA,NA
AI,2020-03-14,0,2,2,TRUE
AI,2020-03-15,0,2,NA,NA
AI,2020-03-16,1,3,4,FALSE
AI,2020-03-17,0,3,5,FALSE
AI,2020-03-18,0,3,NA,NA
AI,2020-03-19,1,4,6,FALSE
AI,2020-03-20,1,5,NA,NA
AI,2020-03-21,0,5,NA,NA
AI,2020-03-22,0,5,NA,NA
AI,2020-03-23,0,5,NA,NA
AI,2020-03-24,2,7,8,FALSE
AI,2020-03-25,0,7,9,FALSE
AI,2020-03-26,0,7,11,FALSE
AI,2020-03-27,2,9,12,FALSE
AI,2020-03-28,1,10,13,FALSE
AI,2020-03-29,0,10,NA,NA
AI,2020-03-30,0,10,14,FALSE
AI,2020-03-31,3,13,14,FALSE
AI,2020-04-01,3,16,NA,NA
AI,2020-04-02,0,16,20,FALSE
AI,2020-04-03,1,17,20,FALSE
AI,2020-04-04,0,17,21,FALSE
AI,2020-04-05,0,17,NA,NA
AI,2020-04-06,0,17,21,FALSE
AI,2020-04-07,1,18,21,FALSE
AI,2020-04-08,1,19,23,FALSE
AI,2020-04-09,0,19,24,FALSE
AI,2020-04-10,0,19,NA,NA
AI,2020-04-11,0,19,24,FALSE
AI,2020-04-12,0,19,NA,NA
AI,2020-04-13,0,19,24,FALSE
AI,2020-04-14,0,19,24,FALSE
AI,2020-04-15,0,19,24,FALSE
AI,2020-04-16,0,19,24,FALSE
AI,2020-04-17,0,19,24,FALSE
AI,2020-04-18,0,19,NA,NA
AI,2020-04-19,0,19,24,FALSE
AI,2020-04-20,0,19,24,FALSE
AI,2020-04-21,0,19,24,FALSE
AI,2020-04-22,1,20,24,FALSE
AI,2020-04-23,0,20,25,FALSE
AI,2020-04-24,0,20,25,FALSE
AI,2020-04-25,0,20,25,FALSE
AI,2020-04-26,0,20,NA,NA
AI,2020-04-27,0,20,25,FALSE
AI,2020-04-28,0,20,25,FALSE
AI,2020-04-29,0,20,25,FALSE
AI,2020-04-30,0,20,25,FALSE
AI,2020-05-01,0,20,25,FALSE
AI,2020-05-02,0,20,NA,NA
AI,2020-05-03,0,20,NA,NA
AI,2020-05-04,0,20,25,FALSE
AI,2020-05-05,0,20,25,FALSE
AI,2020-05-06,0,20,25,FALSE
AI,2020-05-07,0,20,NA,NA
AI,2020-05-08,0,20,NA,NA
AI,2020-05-09,0,20,25,FALSE
AI,2020-05-10,0,20,NA,NA
AI,2020-05-11,0,20,25,FALSE
AI,2020-05-12,0,20,25,FALSE
AI,2020-05-13,0,20,NA,NA
AI,2020-05-14,0,20,25,FALSE
AI,2020-05-15,0,20,NA,NA
AI,2020-05-16,0,20,25,FALSE
AI,2020-05-17,0,20,NA,NA
AI,2020-05-18,0,20,NA,NA
AI,2020-05-19,0,20,NA,NA
AI,2020-05-20,0,20,25,FALSE
AI,2020-05-21,0,20,NA,NA
AI,2020-05-22,0,20,NA,NA
AI,2020-05-23,0,20,NA,NA
AI,2020-05-24,0,20,25,FALSE
AI,2020-05-25,0,20,25,FALSE
AI,2020-05-26,0,20,NA,NA
AI,2020-05-27,0,20,25,FALSE
AI,2020-05-28,0,20,NA,NA
AI,2020-05-29,0,20,25,FALSE
AI,2020-05-30,0,20,NA,NA
AI,2020-05-31,0,20,NA,NA
AI,2020-06-01,0,20,NA,NA
AI,2020-06-02,0,20,NA,NA
AI,2020-06-03,0,20,25,FALSE
AI,2020-06-04,0,20,NA,NA
AI,2020-06-05,0,20,25,FALSE
AI,2020-06-06,0,20,NA,NA
AI,2020-06-07,0,20,NA,NA
AI,2020-06-08,0,20,NA,NA
AI,2020-06-09,0,20,25,FALSE
AI,2020-06-10,0,20,25,FALSE
AI,2020-06-11,0,20,NA,NA
AI,2020-06-12,0,20,25,FALSE
AI,2020-06-13,0,20,NA,NA
AI,2020-06-14,0,20,NA,NA
AI,2020-06-15,0,20,NA,NA
AI,2020-06-16,0,20,25,FALSE
AI,2020-06-17,0,20,25,FALSE
AI,2020-06-18,0,20,NA,NA
AI,2020-06-19,0,20,25,FALSE
AI,2020-06-20,0,20,NA,NA
AI,2020-06-21,0,20,NA,NA
AI,2020-06-22,0,20,NA,NA
AI,2020-06-23,0,20,25,FALSE
AI,2020-06-24,0,20,25,FALSE
AI,2020-06-25,0,20,NA,NA
AI,2020-06-26,NA,NA,25,NA
AR,2020-01-24,0,0,NA,NA
AR,2020-01-25,0,0,NA,NA
AR,2020-01-26,0,0,NA,NA
AR,2020-01-27,0,0,NA,NA
AR,2020-01-28,0,0,NA,NA
AR,2020-01-29,0,0,NA,NA
AR,2020-01-30,0,0,NA,NA
AR,2020-01-31,0,0,NA,NA
AR,2020-02-01,0,0,NA,NA
AR,2020-02-02,0,0,NA,NA
AR,2020-02-03,0,0,NA,NA
AR,2020-02-04,0,0,NA,NA
AR,2020-02-05,0,0,NA,NA
AR,2020-02-06,0,0,NA,NA
AR,2020-02-07,0,0,NA,NA
AR,2020-02-08,0,0,NA,NA
AR,2020-02-09,0,0,NA,NA
AR,2020-02-10,0,0,NA,NA
AR,2020-02-11,0,0,NA,NA
AR,2020-02-12,0,0,NA,NA
AR,2020-02-13,0,0,NA,NA
AR,2020-02-14,0,0,NA,NA
AR,2020-02-15,0,0,NA,NA
AR,2020-02-16,0,0,NA,NA
AR,2020-02-17,0,0,NA,NA
AR,2020-02-18,0,0,NA,NA
AR,2020-02-19,0,0,NA,NA
AR,2020-02-20,0,0,NA,NA
AR,2020-02-21,0,0,NA,NA
AR,2020-02-22,0,0,NA,NA
AR,2020-02-23,0,0,NA,NA
AR,2020-02-24,0,0,NA,NA
AR,2020-02-25,0,0,NA,NA
AR,2020-02-26,0,0,NA,NA
AR,2020-02-27,0,0,NA,NA
AR,2020-02-28,0,0,NA,NA
AR,2020-02-29,0,0,NA,NA
AR,2020-03-01,0,0,NA,NA
AR,2020-03-02,0,0,NA,NA
AR,2020-03-03,0,0,NA,NA
AR,2020-03-04,1,1,NA,NA
AR,2020-03-05,0,1,1,TRUE
AR,2020-03-06,0,1,1,TRUE
AR,2020-03-07,0,1,1,TRUE
AR,2020-03-08,1,2,1,FALSE
AR,2020-03-09,1,3,2,FALSE
AR,2020-03-10,0,3,NA,NA
AR,2020-03-11,2,5,NA,NA
AR,2020-03-12,0,5,5,TRUE
AR,2020-03-13,1,6,NA,NA
AR,2020-03-14,3,9,NA,NA
AR,2020-03-15,1,10,NA,NA
AR,2020-03-16,5,15,NA,NA
AR,2020-03-17,2,17,NA,NA
AR,2020-03-18,4,21,11,FALSE
AR,2020-03-19,7,28,NA,NA
AR,2020-03-20,2,30,NA,NA
AR,2020-03-21,1,31,NA,NA
AR,2020-03-22,0,31,NA,NA
AR,2020-03-23,3,34,30,FALSE
AR,2020-03-24,3,37,33,FALSE
AR,2020-03-25,3,40,34,FALSE
AR,2020-03-26,3,43,42,FALSE
AR,2020-03-27,2,45,44,FALSE
AR,2020-03-28,4,49,45,FALSE
AR,2020-03-29,2,51,48,FALSE
AR,2020-03-30,4,55,50,FALSE
AR,2020-03-31,5,60,58,FALSE
AR,2020-04-01,2,62,61,FALSE
AR,2020-04-02,2,64,64,TRUE
AR,2020-04-03,1,65,65,TRUE
AR,2020-04-04,1,66,66,TRUE
AR,2020-04-05,1,67,67,TRUE
AR,2020-04-06,2,69,69,TRUE
AR,2020-04-07,3,72,69,FALSE
AR,2020-04-08,2,74,72,FALSE
AR,2020-04-09,1,75,74,FALSE
AR,2020-04-10,0,75,77,FALSE
AR,2020-04-11,0,75,77,FALSE
AR,2020-04-12,0,75,NA,NA
AR,2020-04-13,0,75,78,FALSE
AR,2020-04-14,0,75,79,FALSE
AR,2020-04-15,1,76,79,FALSE
AR,2020-04-16,0,76,79,FALSE
AR,2020-04-17,2,78,82,FALSE
AR,2020-04-18,1,79,NA,NA
AR,2020-04-19,0,79,NA,NA
AR,2020-04-20,2,81,86,FALSE
AR,2020-04-21,2,83,86,FALSE
AR,2020-04-22,1,84,87,FALSE
AR,2020-04-23,1,85,88,FALSE
AR,2020-04-24,2,87,88,FALSE
AR,2020-04-25,0,87,NA,NA
AR,2020-04-26,0,87,NA,NA
AR,2020-04-27,0,87,94,FALSE
AR,2020-04-28,0,87,94,FALSE
AR,2020-04-29,1,88,94,FALSE
AR,2020-04-30,1,89,95,FALSE
AR,2020-05-01,0,89,96,FALSE
AR,2020-05-02,0,89,96,FALSE
AR,2020-05-03,0,89,97,FALSE
AR,2020-05-04,0,89,97,FALSE
AR,2020-05-05,0,89,97,FALSE
AR,2020-05-06,0,89,97,FALSE
AR,2020-05-07,0,89,97,FALSE
AR,2020-05-08,1,90,97,FALSE
AR,2020-05-09,0,90,NA,NA
AR,2020-05-10,0,90,NA,NA
AR,2020-05-11,0,90,98,FALSE
AR,2020-05-12,0,90,98,FALSE
AR,2020-05-13,1,91,NA,NA
AR,2020-05-14,0,91,NA,NA
AR,2020-05-15,0,91,99,FALSE
AR,2020-05-16,0,91,NA,NA
AR,2020-05-17,0,91,NA,NA
AR,2020-05-18,0,91,99,FALSE
AR,2020-05-19,0,91,NA,NA
AR,2020-05-20,0,91,99,FALSE
AR,2020-05-21,0,91,NA,NA
AR,2020-05-22,0,91,99,FALSE
AR,2020-05-23,0,91,NA,NA
AR,2020-05-24,0,91,NA,NA
AR,2020-05-25,0,91,99,FALSE
AR,2020-05-26,0,91,NA,NA
AR,2020-05-27,0,91,99,FALSE
AR,2020-05-28,0,91,99,FALSE
AR,2020-05-29,0,91,100,FALSE
AR,2020-05-30,0,91,NA,NA
AR,2020-05-31,0,91,NA,NA
AR,2020-06-01,0,91,NA,NA
AR,2020-06-02,0,91,100,FALSE
AR,2020-06-03,0,91,100,FALSE
AR,2020-06-04,0,91,100,FALSE
AR,2020-06-05,0,91,100,FALSE
AR,2020-06-06,0,91,NA,NA
AR,2020-06-07,0,91,NA,NA
AR,2020-06-08,0,91,100,FALSE
AR,2020-06-09,0,91,NA,NA
AR,2020-06-10,0,91,NA,NA
AR,2020-06-11,0,91,NA,NA
AR,2020-06-12,0,91,100,FALSE
AR,2020-06-13,0,91,NA,NA
AR,2020-06-14,0,91,NA,NA
AR,2020-06-15,0,91,100,FALSE
AR,2020-06-16,0,91,NA,NA
AR,2020-06-17,0,91,NA,NA
AR,2020-06-18,0,91,NA,NA
AR,2020-06-19,0,91,100,FALSE
AR,2020-06-20,0,91,NA,NA
AR,2020-06-21,0,91,NA,NA
AR,2020-06-22,0,91,100,FALSE
AR,2020-06-23,0,91,NA,NA
AR,2020-06-24,1,92,NA,NA
AR,2020-06-25,1,93,101,FALSE
AR,2020-06-26,NA,NA,101,NA
BE,2020-01-24,0,0,NA,NA
BE,2020-01-25,0,0,NA,NA
BE,2020-01-26,0,0,NA,NA
BE,2020-01-27,0,0,NA,NA
BE,2020-01-28,0,0,NA,NA
BE,2020-01-29,0,0,NA,NA
BE,2020-01-30,0,0,NA,NA
BE,2020-01-31,0,0,NA,NA
BE,2020-02-01,0,0,NA,NA
BE,2020-02-02,0,0,NA,NA
BE,2020-02-03,0,0,NA,NA
BE,2020-02-04,0,0,NA,NA
BE,2020-02-05,0,0,NA,NA
BE,2020-02-06,0,0,NA,NA
BE,2020-02-07,0,0,NA,NA
BE,2020-02-08,0,0,NA,NA
BE,2020-02-09,0,0,NA,NA
BE,2020-02-10,0,0,NA,NA
BE,2020-02-11,0,0,NA,NA
BE,2020-02-12,0,0,NA,NA
BE,2020-02-13,0,0,NA,NA
BE,2020-02-14,0,0,NA,NA
BE,2020-02-15,0,0,NA,NA
BE,2020-02-16,0,0,NA,NA
BE,2020-02-17,0,0,NA,NA
BE,2020-02-18,0,0,NA,NA
BE,2020-02-19,0,0,NA,NA
BE,2020-02-20,0,0,NA,NA
BE,2020-02-21,0,0,NA,NA
BE,2020-02-22,0,0,NA,NA
BE,2020-02-23,0,0,NA,NA
BE,2020-02-24,0,0,NA,NA
BE,2020-02-25,0,0,NA,NA
BE,2020-02-26,0,0,NA,NA
BE,2020-02-27,1,1,NA,NA
BE,2020-02-28,0,1,1,TRUE
BE,2020-02-29,1,2,NA,NA
BE,2020-03-01,0,2,2,TRUE
BE,2020-03-02,4,6,4,FALSE
BE,2020-03-03,3,9,NA,NA
BE,2020-03-04,8,17,6,FALSE
BE,2020-03-05,5,22,NA,NA
BE,2020-03-06,9,31,17,FALSE
BE,2020-03-07,0,31,NA,NA
BE,2020-03-08,3,34,NA,NA
BE,2020-03-09,4,38,34,FALSE
BE,2020-03-10,7,45,NA,NA
BE,2020-03-11,16,61,NA,NA
BE,2020-03-12,24,85,NA,NA
BE,2020-03-13,11,96,NA,NA
BE,2020-03-14,19,115,NA,NA
BE,2020-03-15,20,135,NA,NA
BE,2020-03-16,68,203,123,FALSE
BE,2020-03-17,54,257,NA,NA
BE,2020-03-18,62,319,193,FALSE
BE,2020-03-19,52,371,282,FALSE
BE,2020-03-20,61,432,377,FALSE
BE,2020-03-21,42,474,418,FALSE
BE,2020-03-22,35,509,NA,NA
BE,2020-03-23,69,578,470,FALSE
BE,2020-03-24,54,632,532,FALSE
BE,2020-03-25,58,690,624,FALSE
BE,2020-03-26,54,744,660,FALSE
BE,2020-03-27,80,824,718,FALSE
BE,2020-03-28,24,848,767,FALSE
BE,2020-03-29,20,868,798,FALSE
BE,2020-03-30,74,942,826,FALSE
BE,2020-03-31,72,1014,856,FALSE
BE,2020-04-01,57,1071,909,FALSE
BE,2020-04-02,43,1114,1003,FALSE
BE,2020-04-03,63,1177,1073,FALSE
BE,2020-04-04,39,1216,1106,FALSE
BE,2020-04-05,14,1230,1137,FALSE
BE,2020-04-06,71,1301,1173,FALSE
BE,2020-04-07,52,1353,1228,FALSE
BE,2020-04-08,59,1412,1286,FALSE
BE,2020-04-09,21,1433,1335,FALSE
BE,2020-04-10,16,1449,1375,FALSE
BE,2020-04-11,21,1470,1419,FALSE
BE,2020-04-12,11,1481,1441,FALSE
BE,2020-04-13,17,1498,1456,FALSE
BE,2020-04-14,36,1534,1470,FALSE
BE,2020-04-15,30,1564,1489,FALSE
BE,2020-04-16,22,1586,1515,FALSE
BE,2020-04-17,18,1604,1553,FALSE
BE,2020-04-18,8,1612,1586,FALSE
BE,2020-04-19,10,1622,1599,FALSE
BE,2020-04-20,33,1655,1613,FALSE
BE,2020-04-21,19,1674,1622,FALSE
BE,2020-04-22,10,1684,1643,FALSE
BE,2020-04-23,21,1705,1670,FALSE
BE,2020-04-24,10,1715,1694,FALSE
BE,2020-04-25,4,1719,1708,FALSE
BE,2020-04-26,9,1728,1714,FALSE
BE,2020-04-27,14,1742,1722,FALSE
BE,2020-04-28,12,1754,1733,FALSE
BE,2020-04-29,13,1767,1741,FALSE
BE,2020-04-30,10,1777,1757,FALSE
BE,2020-05-01,10,1787,1767,FALSE
BE,2020-05-02,6,1793,1779,FALSE
BE,2020-05-03,2,1795,1791,FALSE
BE,2020-05-04,6,1801,1796,FALSE
BE,2020-05-05,4,1805,1798,FALSE
BE,2020-05-06,8,1813,1804,FALSE
BE,2020-05-07,7,1820,1809,FALSE
BE,2020-05-08,6,1826,1818,FALSE
BE,2020-05-09,5,1831,1825,FALSE
BE,2020-05-10,2,1833,1832,FALSE
BE,2020-05-11,2,1835,1835,TRUE
BE,2020-05-12,3,1838,1840,FALSE
BE,2020-05-13,5,1843,1843,TRUE
BE,2020-05-14,6,1849,1847,FALSE
BE,2020-05-15,3,1852,1852,TRUE
BE,2020-05-16,0,1852,1860,FALSE
BE,2020-05-17,0,1852,1860,FALSE
BE,2020-05-18,3,1855,1863,FALSE
BE,2020-05-19,4,1859,1865,FALSE
BE,2020-05-20,3,1862,1867,FALSE
BE,2020-05-21,3,1865,1869,FALSE
BE,2020-05-22,4,1869,1874,FALSE
BE,2020-05-23,0,1869,1878,FALSE
BE,2020-05-24,1,1870,1881,FALSE
BE,2020-05-25,1,1871,1881,FALSE
BE,2020-05-26,0,1871,1881,FALSE
BE,2020-05-27,2,1873,1881,FALSE
BE,2020-05-28,2,1875,1883,FALSE
BE,2020-05-29,2,1877,1884,FALSE
BE,2020-05-30,0,1877,1909,FALSE
BE,2020-05-31,2,1879,1910,FALSE
BE,2020-06-01,0,1879,1910,FALSE
BE,2020-06-02,2,1881,1911,FALSE
BE,2020-06-03,1,1882,1912,FALSE
BE,2020-06-04,3,1885,1914,FALSE
BE,2020-06-05,0,1885,1916,FALSE
BE,2020-06-06,0,1885,1918,FALSE
BE,2020-06-07,1,1886,1918,FALSE
BE,2020-06-08,5,1891,1918,FALSE
BE,2020-06-09,0,1891,1919,FALSE
BE,2020-06-10,6,1897,1919,FALSE
BE,2020-06-11,2,1899,1924,FALSE
BE,2020-06-12,2,1901,1927,FALSE
BE,2020-06-13,1,1902,NA,NA
BE,2020-06-14,0,1902,NA,NA
BE,2020-06-15,2,1904,NA,NA
BE,2020-06-16,1,1905,NA,NA
BE,2020-06-17,0,1905,NA,NA
BE,2020-06-18,0,1905,NA,NA
BE,2020-06-19,1,1906,NA,NA
BE,2020-06-20,4,1910,NA,NA
BE,2020-06-21,2,1912,NA,NA
BE,2020-06-22,3,1915,NA,NA
BE,2020-06-23,3,1918,NA,NA
BE,2020-06-24,0,1918,NA,NA
BE,2020-06-25,0,1918,NA,NA
BE,2020-06-26,1,1919,1928,FALSE
BE,2020-06-27,NA,NA,1929,NA
BL,2020-01-24,0,0,NA,NA
BL,2020-01-25,0,0,NA,NA
BL,2020-01-26,0,0,NA,NA
BL,2020-01-27,0,0,NA,NA
BL,2020-01-28,0,0,NA,NA
BL,2020-01-29,0,0,NA,NA
BL,2020-01-30,0,0,NA,NA
BL,2020-01-31,0,0,NA,NA
BL,2020-02-01,0,0,NA,NA
BL,2020-02-02,0,0,NA,NA
BL,2020-02-03,0,0,NA,NA
BL,2020-02-04,0,0,NA,NA
BL,2020-02-05,0,0,NA,NA
BL,2020-02-06,0,0,NA,NA
BL,2020-02-07,0,0,NA,NA
BL,2020-02-08,0,0,NA,NA
BL,2020-02-09,0,0,NA,NA
BL,2020-02-10,0,0,NA,NA
BL,2020-02-11,0,0,NA,NA
BL,2020-02-12,0,0,NA,NA
BL,2020-02-13,0,0,NA,NA
BL,2020-02-14,0,0,NA,NA
BL,2020-02-15,0,0,NA,NA
BL,2020-02-16,0,0,NA,NA
BL,2020-02-17,0,0,NA,NA
BL,2020-02-18,0,0,NA,NA
BL,2020-02-19,0,0,NA,NA
BL,2020-02-20,0,0,NA,NA
BL,2020-02-21,0,0,NA,NA
BL,2020-02-22,0,0,NA,NA
BL,2020-02-23,0,0,NA,NA
BL,2020-02-24,0,0,NA,NA
BL,2020-02-25,0,0,NA,NA
BL,2020-02-26,1,1,NA,NA
BL,2020-02-27,0,1,NA,NA
BL,2020-02-28,2,3,1,FALSE
BL,2020-02-29,1,4,2,FALSE
BL,2020-03-01,0,4,2,FALSE
BL,2020-03-02,0,4,2,FALSE
BL,2020-03-03,0,4,2,FALSE
BL,2020-03-04,2,6,2,FALSE
BL,2020-03-05,3,9,6,FALSE
BL,2020-03-06,8,17,6,FALSE
BL,2020-03-07,1,18,15,FALSE
BL,2020-03-08,0,18,19,FALSE
